City,State,Funding,geometry
Wiesloch,Baden-Wurttemberg,200000.0,POINT (8.698707 49.2942599)
Leipzig,Sachsen,280000.0,POINT (12.3747329 51.3406321)
Munich,Bayern,120000.0,POINT (11.5753822 48.1371079)
Frankfurt,Hessen,,POINT (8.6820917 50.1106444)
Berlin,Berlin,250000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1500000.0,POINT (11.5753822 48.1371079)
Aachen,Nordrhein-Westfalen,30000.0,POINT (6.083862 50.776351)
Munich,Bayern,1000000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Karlsruhe,Baden-Wurttemberg,147000.0,POINT (8.4034195 49.0068705)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Gröbers,Sachsen-Anhalt,,POINT (12.117037841797554 51.4362352)
Magdeburg,Sachsen-Anhalt,1460000.0,POINT (11.6399609 52.1315889)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,,POINT (6.083862 50.776351)
Eschborn,Hessen,,POINT (8.5607767 50.1504737)
Hamburg,Hamburg,50000.0,POINT (9.975375829413123 53.5909051)
Hanover,Niedersachsen,400000.0,POINT (9.7385532 52.3744779)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Aachen,Nordrhein-Westfalen,30000.0,POINT (6.083862 50.776351)
Hamm,Nordrhein-Westfalen,,POINT (7.8191185 51.681281)
Villingen-schwenningen,Baden-Wurttemberg,,POINT (8.4945022 48.0632359)
Berlin,Berlin,3570000.0,POINT (13.4349112 52.5103817)
Frankfurt,Hessen,300000.0,POINT (8.6820917 50.1106444)
Karlsruhe,Baden-Wurttemberg,200000.0,POINT (8.4034195 49.0068705)
Potsdam,Brandenburg,350000.0,POINT (13.0591397 52.4009309)
Heidelberg,Baden-Wurttemberg,800000.0,POINT (8.694724 49.4093582)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,14762000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Konstanz,Baden-Wurttemberg,,POINT (9.1750718 47.659216)
Ulm,Baden-Wurttemberg,950000.0,POINT (9.9912458 48.3984968)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,550000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Düsseldorf,Nordrhein-Westfalen,,POINT (6.7763137 51.2254018)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Dresden,Sachsen,,POINT (13.7381437 51.0493286)
Berlin,Berlin,146400.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,3200000.0,POINT (9.1800132 48.7784485)
Dresden,Sachsen,625000.0,POINT (13.7381437 51.0493286)
Moabit,Berlin,,POINT (13.3425422 52.5301017)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Augsburg,Bayern,,POINT (10.8979522 48.3690341)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,250000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,500000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,1000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,507000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,148750.0,POINT (9.1800132 48.7784485)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Berlin,Berlin,700000.0,POINT (13.4349112 52.5103817)
Krailling,Bayern,1000000.0,POINT (11.4050891 48.0992621)
Frankfurt,Hessen,,POINT (8.6820917 50.1106444)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Chemnitz,Sachsen,,POINT (12.918914 50.8323531)
Berlin,Berlin,325000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,2760000.0,POINT (13.4349112 52.5103817)
Tübingen,Baden-Wurttemberg,,POINT (9.053596 48.5203263)
Cologne,Nordrhein-Westfalen,350000.0,POINT (6.959974 50.938361)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,,POINT (9.975375829413123 53.5909051)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Düsseldorf,Nordrhein-Westfalen,,POINT (6.7763137 51.2254018)
Koblenz,Rheinland-Pfalz,,POINT (7.5943951 50.3533278)
Mainz,Rheinland-Pfalz,,POINT (8.2736253 49.9995205)
Berlin,Berlin,5000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,4530000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,12100000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,800000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1200000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,4000000.0,POINT (11.5753822 48.1371079)
Karlsruhe,Baden-Wurttemberg,435000.0,POINT (8.4034195 49.0068705)
Freiburg,Baden-Wurttemberg,,POINT (7.8494005 47.9960901)
Potsdam,Brandenburg,2700000.0,POINT (13.0591397 52.4009309)
