Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean,twitter_log,instagram_log,linkedin_log,ceo_connections_log,total_funding_log,articles_log,funding_time_months_log,age_log
beeBlum,2020-02-20,"Wiesloch, Baden-Wurttemberg,",Wiesloch,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Collaboration, Innovation Management,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€200,000",Pre-Seed,2019-10-04,"€200,000",0.0,0.0,Ideation & Knowledge work framework for agile teams and corporations,B2B,beeBlum B2B startup website,0.0,0.0,0.0,0.0,0,€,200000.0,€,200000.0,1.12,historical,1.12,200000.0,200000.0,4,0,1,industrials,0.0,0.0,0.0,0.0,12.206077645517674,0.0,0.0,1.6094379124341003
meinAdmin,2020-01-01,"Leipzig, Sachsen, Germany",Leipzig,Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Information Technology, Machine Learning,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€280,000",Pre-Seed,2019-12-15,"€280,000",1.0,0.0,meinAdmin provides AI driven managed services.,Information Technology,meinAdmin Information Technology startup website,0.0,130.0,22.0,303.0,0,€,280000.0,€,280000.0,1.12,historical,1.12,280000.0,280000.0,5,0,1,information_technology,0.0,4.875197323201151,3.1354942159291497,5.717027701406222,12.54254845357358,0.0,0.0,1.791759469228055
boost,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Computer Vision,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€120,000",Pre-Seed,2020-01-01,"€120,000",0.0,0.0,ai based personal fitness assistant,AI,boost AI startup website,0.0,0.0,23000.0,500.0,1,€,120000.0,€,120000.0,1.12,historical,1.12,120000.0,120000.0,5,0,1,information_technology,0.0,0.0,10.043292972227004,6.2166061010848646,11.695255355062795,0.0,0.0,1.791759469228055
VAMOS.ai,2020-01-01,"Frankfurt, Hessen, Germany",Frankfurt,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Analytics, AI,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,0.0,Seed,2020-01-01,0.0,1.0,0.0,VAMOS.ai offers video analytics and media optimization services.,Analytics,VAMOS.ai Analytics startup website,0.0,8.0,123.0,112.0,0,0.0,0.0,0.0,0.0,1.12,historical,1.12,0.0,0.0,5,0,2,information_technology,0.0,2.1972245773362196,4.820281565605037,4.727387818712341,0.0,0.0,0.0,1.791759469228055
Sanos Group,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Consumer Applications, Health Care",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€250,000",Pre-Seed,2020-01-07,"€250,000",0.0,0.0,Technology enabled smoking cessation platform,Consumer Applications,Sanos Group Consumer Applications startup website,0.0,0.0,135.0,363.0,0,€,250000.0,€,250000.0,1.12,historical,1.12,250000.0,250000.0,5,0,1,information_technology,0.0,0.0,4.912654885736052,5.8971538676367405,12.429220196836383,0.0,0.0,1.791759469228055
Samdock,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, CRM, Machine Learning,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,500,000",Seed,2020-02-01,"€1,500,000",1.0,1.0,"Samdock is a SaaS vendor for Sales Automation, Lead Management and CRM focused on the SMB market",Apps,Samdock Apps startup website,0.0,0.0,2000.0,500.0,1,€,1500000.0,€,1500000.0,1.11,historical,1.11,1500000.0,1500000.0,5,1,2,information_technology,0.0,0.0,7.601402334583733,6.2166061010848646,14.220976332738882,0.6931471805599453,0.6931471805599453,1.791759469228055
Terranigma Solutions,2020-03-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Machine Learning,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€30,000",Pre-Seed,2020-03-01,"€30,000",1.0,0.0,We bring your geological understanding to the next level.,Machine Learning,Terranigma Solutions Machine Learning startup website,107.0,0.0,754.0,500.0,1,€,30000.0,€,30000.0,1.11,historical,1.11,30000.0,30000.0,4,0,1,information_technology,4.68213122712422,0.0,6.626717749249025,6.2166061010848646,10.308985993422082,0.0,0.0,1.6094379124341003
U-Pax,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Delivery Service, E-Commerce,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,000,000",Series A,2020-03-02,"€1,000,000",1.0,0.0,U-Pax develops an app-based shopping platform that enables users to buy local products online.,Apps,U-Pax Apps startup website,0.0,145.0,0.0,0.0,0,€,1000000.0,€,1000000.0,1.11,historical,1.11,1000000.0,1000000.0,5,2,3,information_technology,0.0,4.983606621708336,0.0,0.0,13.815511557963774,0.0,1.0986122886681098,1.791759469228055
Nonfig,2020-03-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Content Marketing, Software",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-03-10,0.0,0.0,0.0,Nonfig is a configuration management platform that unifies business configurations.,B2B,Nonfig B2B startup website,10.0,0.0,152.0,151.0,0,0.0,0.0,0.0,0.0,1.14,historical,1.14,0.0,0.0,4,0,1,industrials,2.3978952727983707,0.0,5.030437921392435,5.0238805208462765,0.0,0.0,0.0,1.6094379124341003
MARA,2020-03-31,"Karlsruhe, Baden-Wurttemberg,",Karlsruhe,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Analytics, AI,,,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€147,000",Pre-Seed,2020-04-01,"€147,000",1.0,0.0,"Market research automation, SaaS, NLP, AI, consumer review analysis",Analytics,MARA Analytics startup website,0.0,0.0,3000.0,500.0,1,€,147000.0,€,147000.0,1.1,historical,1.1,147000.0,147000.0,4,0,1,information_technology,0.0,0.0,8.006700845440367,6.2166061010848646,11.898194668458823,0.0,0.0,1.6094379124341003
CooperHire,2020-02-12,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Internet, Marketplace, Software",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-04-04,0.0,1.0,0.0,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.,Internet,CooperHire Internet startup website,0.0,0.0,2000.0,500.0,1,0.0,0.0,0.0,0.0,1.08,historical,1.08,0.0,0.0,4,1,1,communication_services,0.0,0.0,7.601402334583733,6.2166061010848646,0.0,0.0,0.6931471805599453,1.6094379124341003
Yuaco,2020-06-20,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Information Services, Internet,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-05-25,0.0,0.0,0.0,Fast and time-saving email for business people,Information Services,Yuaco Information Services startup website,0.0,0.0,114000.0,500.0,1,0.0,0.0,0.0,0.0,1.09,historical,1.09,0.0,0.0,4,0,1,information_technology,0.0,0.0,11.643962499267984,6.2166061010848646,0.0,0.0,0.0,1.6094379124341003
Truck Norris GmbH,2020-01-01,"Gröbers, Sachsen-Anhalt, Germany",Gröbers,Sachsen-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"AI, Audio,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,0.0,Seed,2020-05-27,0.0,1.0,0.0,Akustische Alarmsysteme für LKWs: Sicherheit für Menschen und Waren.,AI,Truck Norris GmbH AI startup website,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.1,historical,1.1,0.0,0.0,5,4,2,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.791759469228055
Infinite Devices,2020-05-01,"Magdeburg, Sachsen-Anhalt, Germany",Magdeburg,Sachsen-Anhalt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Facility Management, Information Technology,,",Real Estate,0,0,0,1,0,0,0,0,0,0,0,0,0,11-50,2,"€1,460,000",Seed,2020-05-27,"€1,450,000",4.0,22.0,Smart facility management,Facility Management,Infinite Devices Facility Management startup website,0.0,0.0,0.0,0.0,0,€,1460000.0,€,1450000.0,1.1,historical,1.1,1460000.0,1450000.0,4,0,2,real_estate,0.0,0.0,0.0,0.0,14.19394767861579,3.1354942159291497,0.0,1.6094379124341003
Ecola Climo,2020-04-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Information Technology,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-06-01,0.0,0.0,0.0,With Ecola you can subscribe to climate action and start generating impact straight away.,Apps,Ecola Climo Apps startup website,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.11,historical,1.11,0.0,0.0,4,2,1,information_technology,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.6094379124341003
valideffect,2020-01-01,"Aachen, Nordrhein-Westfalen,",Aachen,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Industrial, Information Technology,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-07-01,0.0,1.0,0.0,valideffect: SaaS platform for the digital assurance of personal industrial qualifications,Industrial,valideffect Industrial startup website,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.12,historical,1.12,0.0,0.0,5,5,1,industrials,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,1.791759469228055
essentry,2020-01-01,"Eschborn, Hessen, Germany",Eschborn,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AI, B2B,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,0.0,Pre-Seed,2020-08-01,0.0,1.0,0.0,Making identity verification and access management more efficient and secure.,AI,essentry AI startup website,0.0,0.0,1000.0,500.0,1,0.0,0.0,0.0,0.0,1.18,historical,1.18,0.0,0.0,5,6,1,information_technology,0.0,0.0,6.90875477931522,6.2166061010848646,0.0,0.0,1.9459101490553132,1.791759469228055
ReachTeens,2020-04-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Cloud Computing, Cloud Data Services,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€50,000",Pre-Seed,2020-08-15,"€50,000",1.0,0.0,Consulting media companies for Gen-Z,Cloud Computing,ReachTeens Cloud Computing startup website,0.0,0.0,40000.0,500.0,1,€,50000.0,€,50000.0,1.19,historical,1.19,50000.0,50000.0,4,4,1,information_technology,0.0,0.0,10.596659732783579,6.2166061010848646,10.819798284210286,0.0,1.6094379124341003,1.6094379124341003
Legal Analytics GmbH,2020-08-01,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Information Technology, Legal Tech,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€400,000",Seed,2020-09-01,"€250,000",0.0,5.0,Legal Analytics helps clients check contracts through technology and legal services.,Information Technology,Legal Analytics GmbH Information Technology startup website,0.0,0.0,2000.0,500.0,1,€,400000.0,€,250000.0,1.19,historical,1.19,400000.0,250000.0,4,1,2,information_technology,0.0,0.0,7.601402334583733,6.2166061010848646,12.899222326086994,1.791759469228055,0.6931471805599453,1.6094379124341003
The Story Market,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Content Creators,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2020-09-11,0.0,1.0,0.0,The Story Market provides content syndication and content analytics for publishers and content creators.,AI,The Story Market AI startup website,0.0,139.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.18,historical,1.18,0.0,0.0,5,8,1,information_technology,0.0,4.941642422609304,0.0,0.0,0.0,0.0,2.1972245773362196,1.791759469228055
