date,fx
"Jan 1, 2020",1.1221
"Jan 2, 2020",1.1221
"Jan 3, 2020",1.1171
"Jan 6, 2020",1.1162
"Jan 7, 2020",1.1198
"Jan 8, 2020",1.1155
"Jan 9, 2020",1.1113
"Jan 10, 2020",1.1111
"Jan 13, 2020",1.1117
"Jan 14, 2020",1.1136
"Jan 15, 2020",1.1131
"Jan 16, 2020",1.1154
"Jan 17, 2020",1.1140
"Jan 20, 2020",1.1095
"Jan 21, 2020",1.1097
"Jan 22, 2020",1.1086
"Jan 23, 2020",1.1096
"Jan 24, 2020",1.1055
"Jan 27, 2020",1.1025
"Jan 28, 2020",1.1020
"Jan 29, 2020",1.1023
"Jan 30, 2020",1.1017
"Jan 31, 2020",1.1029
"Feb 3, 2020",1.1090
"Feb 4, 2020",1.1063
"Feb 5, 2020",1.1047
"Feb 6, 2020",1.1002
"Feb 7, 2020",1.0983
"Feb 10, 2020",1.0949
"Feb 11, 2020",1.0913
"Feb 12, 2020",1.0919
"Feb 13, 2020",1.0876
"Feb 14, 2020",1.0846
"Feb 17, 2020",1.0842
"Feb 18, 2020",1.0840
"Feb 19, 2020",1.0795
"Feb 20, 2020",1.0810
"Feb 21, 2020",1.0788
"Feb 24, 2020",1.0839
"Feb 25, 2020",1.0849
"Feb 26, 2020",1.0882
"Feb 27, 2020",1.0886
"Feb 28, 2020",1.0997
"Mar 2, 2020",1.1051
"Mar 3, 2020",1.1144
"Mar 4, 2020",1.1181
"Mar 5, 2020",1.1139
"Mar 6, 2020",1.1224
"Mar 9, 2020",1.1386
"Mar 10, 2020",1.1398
"Mar 11, 2020",1.1317
"Mar 12, 2020",1.1262
"Mar 13, 2020",1.1185
"Mar 16, 2020",1.1155
"Mar 17, 2020",1.1163
"Mar 18, 2020",1.1016
"Mar 19, 2020",1.0962
"Mar 20, 2020",1.0657
"Mar 23, 2020",1.0694
"Mar 24, 2020",1.0765
"Mar 25, 2020",1.0803
"Mar 26, 2020",1.0890
"Mar 27, 2020",1.1048
"Mar 30, 2020",1.1139
"Mar 31, 2020",1.1030
"Apr 1, 2020",1.1027
